,LOC,Entry,Rep,Row,Col,Row2,Col2,serpentine,selected,selection_location,selected_type,selected_category,First_Summer_ALF_Height,First_Summer_IWG_Height_log,First_Summer_Maturity,First_Yr_Regrowth_Vigor,First_Summer_ALF_Biomass_sqrt,First_Summer_IWG_Biomass_log,First_Summer_Lodging,First_Yr_Regrowth_Vigor2
163,NY,AVC9,5,10,1,33.25,7.5,40,selected,WI,WI_Maize,WI_Maize,5.431897342,4.787491743,6,5,569.3622471,NA,2,5
164,NY,NY1713,5,11,1,36.75,7.5,41,other,NA,NA,NA,-3.450024768,5.386022945,6,5,315.3075185,NA,1,5
165,NY,IWAF-H-MN1,6,11,2,36.75,32.5,42,selected,MN,MN_IWG,MN_IWG,-4.553540019,5.355012712,6,4,401.01382,12.24872887,2,4
166,NY,UMN5555,7,11,3,36.75,57.5,43,other,NA,NA,NA,-4.782272843,4.588363067,6,3,311.9206585,NA,5,3
167,NY,AVC1,8,11,4,36.75,82.5,44,base,NA,NA,base_WI,-1.133776504,4.814890714,6,3,295.4828716,NA,4,3
168,NY,IWAF-L-KS1,8,12,4,40.25,82.5,45,selected,KS,KS_IWG,KS_IWG,0.220457242,4.801285068,6,3,234.1106943,NA,1,3
169,NY,UMN4353,7,12,3,40.25,57.5,46,other,NA,NA,NA,-7.940990166,4.637960006,5,2,164.5759961,NA,3,2
170,NY,UMN5555,6,12,2,40.25,32.5,47,other,NA,NA,NA,6.062483512,4.588363067,6,4,298.5227149,NA,6,4
171,NY,UMN5553,5,13,1,43.75,7.5,49,other,NA,NA,NA,-7.162332768,4.787491743,7,4,369.2996653,NA,2,4
172,NY,INTALF20,8,2,4,5.25,82.5,5,selected,WI,WI_Maize,WI_Maize,-2.872879794,4.929666229,6,2,186.0823586,NA,7,2
173,NY,UMN4352,6,13,2,43.75,32.5,50,other,NA,NA,NA,0.465305993,4.773505498,6,4,260.319524,NA,4,4
174,NY,UMN5560,8,13,4,43.75,82.5,52,selected,MN,MN_Maize,MN_Maize,0.696609337,4.744932128,6,2,213.4641991,NA,4,2
175,NY,IWAF-L-MN1,8,14,4,47.25,82.5,53,selected,MN,MN_IWG,MN_IWG,1.185712602,4.892852256,8,3,388.0918456,NA,1,3
176,NY,INTALF20,7,14,3,47.25,57.5,54,selected,WI,WI_Maize,WI_Maize,-6.080861552,4.730333326,7,4,332.5230589,NA,4,4
177,NY,IWAF-H-Base,6,14,2,47.25,32.5,55,base,NA,NA,base_H,7.108124813,4.759320869,6,4,324.439131,NA,7,4
178,NY,IWAF-L-Base,5,14,1,47.25,7.5,56,base,NA,NA,base_L,0.310871943,4.814890714,8,5,512.4135853,NA,2,5
179,NY,INTALF20,6,15,2,50.75,32.5,58,selected,WI,WI_Maize,WI_Maize,11.79569191,4.828313737,6,4,237.041419,NA,1,4
180,NY,AVC1,7,15,3,50.75,57.5,59,base,NA,NA,base_WI,2.142343134,4.518158809,7,4,342.2820768,NA,3,4
